"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"VN","Vietnam","2097","72","1382085","1.261784543691907","706279","1.2821377435196974","675806","1.2411928753075978","1.0450913427818043"
"VN","Vietnam","2097","73","1388195","1.2673627125903162","708238","1.2856939979737518","679957","1.248816648439831","1.041592335985952"
"VN","Vietnam","2097","74","1394719","1.2733188457970623","710301","1.289439047967991","684418","1.2570097710471284","1.0378175325605112"
"VN","Vietnam","2097","75","1395143","1.273705939678065","708772","1.2866633904589304","686371","1.2605966727400337","1.0326368683991602"
"VN","Vietnam","2097","76","1389760","1.2687914907124127","703791","1.2776211732891272","685969","1.2598583550336602","1.0259807658946687"
"VN","Vietnam","2097","77","1384880","1.2643362592518177","698924","1.2687859050768338","685956","1.2598344790879317","1.0189050026532314"
"VN","Vietnam","2097","78","1362655","1.2440457840035133","689880","1.2523679544477024","672775","1.2356261067304362","1.0254245475827728"
"VN","Vietnam","2097","79","1332117","1.216165894998667","672038","1.219978627255646","660079","1.2123084908097352","1.0181175283564543"
"VN","Vietnam","2097","80","1315308","1.2008199963058097","655598","1.1901344091726167","659710","1.2116307812732878","0.9937669582089099"
"VN","Vietnam","2097","81","1290824","1.1784671505924473","639569","1.1610362965416632","651255","1.1961022334937095","0.9820561838296827"
"VN","Vietnam","2097","82","1248174","1.1395295231755662","613568","1.1138355961537774","634606","1.1655244934603326","0.9668487218841297"
"VN","Vietnam","2097","83","1202505","1.0978356777710756","587649","1.06678375378796","614856","1.1292514220651022","0.9557506147780944"
"VN","Vietnam","2097","84","1146707","1.0468944882140503","555805","1.0089760116568174","590902","1.085257237143515","0.940604364175447"
"VN","Vietnam","2097","85","1067862","0.9749123725356454","509815","0.9254884453771026","558047","1.0249153758427405","0.9135700039602399"
"VN","Vietnam","2097","86","992831","0.90641227587173","466597","0.8470330063800003","526234","0.9664872634226664","0.8866720888426062"
"VN","Vietnam","2097","87","932360","0.8512048370082785","430735","0.7819312211674945","501625","0.9212900981586045","0.8586792923000249"
"VN","Vietnam","2097","88","881094","0.804401169783101","402100","0.7299489106560868","478994","0.8797257498676951","0.8394677177584688"
"VN","Vietnam","2097","89","822422","0.7508361410421107","370877","0.6732684957408543","451545","0.8293126087675595","0.8213511388676654"
